Student,LPIPS,SSIM
112590021.png,0.3501632511615753,0.4400744003729116
112590031.png,0.35368993878364563,0.4576462405132266
112590051.png,0.3537105321884155,0.42565010349858157
112590057.png,0.3616953492164612,0.4240036385271231
112590024.png,0.40125522017478943,0.36695519075833766
112590026.png,0.4020349979400635,0.4264773020530998
112590020.png,0.40771937370300293,0.4126212436898901
112590028.jpg,0.40837615728378296,0.33742619515510014
110590456.png,0.41155511140823364,0.41002724824393505
112590053.png,0.4130796492099762,0.3489386110074158
109810011.png,0.41508781909942627,0.4514716995770121
112590035.png,0.4195910394191742,0.4367069785178918
112590025.png,0.4281749129295349,0.34341638570100824
111820017.jpg,0.43243786692619324,0.4244984867962491
112590009.png,0.43322083353996277,0.4451368200555111
112590004.png,0.43483486771583557,0.4573316530402562
112590017.png,0.44114795327186584,0.45033986304633894
112590007.png,0.441231906414032,0.44468602629993176
110820009.png,0.4439484775066376,0.4412009127543606
112590060.png,0.44872575998306274,0.46374945762030473
112590022.png,0.4508303701877594,0.41804897201048846
112590038.png,0.45113998651504517,0.47488004443823345
111332012.png,0.45578545331954956,0.4408159377516379
112590036.png,0.455966055393219,0.47085583931662095
112590044.png,0.45639824867248535,0.42296137466810674
112590005.png,0.45864570140838623,0.40281994802055227
112590023.png,0.4633951187133789,0.4392273278678733
112590041.png,0.4665912389755249,0.4431672734909739
112590073.png,0.4700622260570526,0.42200276425278754
112590003.png,0.4701371490955353,0.42078456320351737
112590014.png,0.48235881328582764,0.4505905829378658
113378043.png,0.48693162202835083,0.39760610094046916
112590018.png,0.4876706600189209,0.2834912141861805
112590013.png,0.4964922070503235,0.4540658906628878
112590030.png,0.5013507604598999,0.4479536357113749
112590029.png,0.5069870352745056,0.45017469751161393
112590033.png,0.5130626559257507,0.4313854992939246
112ab0053.png,0.5268811583518982,0.42147038731460656
112590012.png,0.5441949367523193,0.4459923721399856
110590041.png,0.5645207166671753,0.4319135492995276
